Ano;Mês;UF;  IRPF  
2000;Janeiro;AC;177.197
2000;Janeiro;AL;460.804
2000;Janeiro;AM;700.623
2000;Janeiro;AP;139.226
2000;Janeiro;BA;2.498.647
2000;Janeiro;CE;1.971.500
2000;Janeiro;DF;3.067.374
2000;Janeiro;ES;1.620.843
2000;Janeiro;GO;1.401.385
2000;Janeiro;MA;479.170
2000;Janeiro;MG;11.038.328
2000;Janeiro;MS;1.926.537
2000;Janeiro;MT;537.577
2000;Janeiro;PA;885.476
2000;Janeiro;PB;531.092
2000;Janeiro;PE;1.679.485
2000;Janeiro;PI;291.999
2000;Janeiro;PR;5.748.682
2000;Janeiro;RJ;36.256.377
2000;Janeiro;RN;493.904
2000;Janeiro;RO;703.484
2000;Janeiro;RR;84.094
2000;Janeiro;RS;7.983.115
2000;Janeiro;SC;2.565.756
2000;Janeiro;SE;636.954
2000;Janeiro;SP;120.292.536
2000;Janeiro;TO;67.719
2000;Fevereiro;AC;144.788
2000;Fevereiro;AL;613.939
2000;Fevereiro;AP;133.473
2000;Fevereiro;AM;622.857
2000;Fevereiro;BA;2.447.841
2000;Fevereiro;CE;1.816.175
2000;Fevereiro;DF;3.740.156
2000;Fevereiro;ES;1.142.166
2000;Fevereiro;GO;1.116.612
2000;Fevereiro;MA;534.351
2000;Fevereiro;MT;564.202
2000;Fevereiro;MS;755.124
2000;Fevereiro;MG;9.397.799
2000;Fevereiro;PA;970.967
2000;Fevereiro;PB;574.091
2000;Fevereiro;PR;5.719.602
2000;Fevereiro;PE;2.093.340
2000;Fevereiro;PI;372.464
2000;Fevereiro;RJ;27.634.980
2000;Fevereiro;RN;409.703
2000;Fevereiro;RS;6.769.975
2000;Fevereiro;RO;402.530
2000;Fevereiro;RR;69.453
2000;Fevereiro;SC;3.424.487
2000;Fevereiro;SP;83.298.947
2000;Fevereiro;SE;691.187
2000;Fevereiro;TO;80.074
2000;Março;AC;127.554
2000;Março;AL;672.321
2000;Março;AP;132.843
2000;Março;AM;749.017
2000;Março;BA;3.362.652
2000;Março;CE;2.278.029
2000;Março;DF;3.271.685
2000;Março;ES;1.293.448
